#;inlet_Y_SO2;LengthCat2;LengthCool;LengthCat1;conversion;so2;so3;constr;obj_conversion;obj_so2;obj_so3
54;0.07487500000000001;1300;1260;1000;0.7188231625573395;0.02105472030777458;0.0672593799608464;440;-0.7188231625573395;0.02105472030777458;-0.0672593799608464
55;0.103875;960;900;780;0.7333861564274879;0.02769670043390119;0.09520042945824582;1360;-0.7333861564274879;0.02769670043390119;-0.09520042945824582
56;0.122375;1030;1990;600;0.5766396481258079;0.05181190579232418;0.08818297480975808;380;-0.5766396481258079;0.05181190579232418;-0.08818297480975808
57;0.103625;1220;1560;510;0.5311285350358028;0.04858954548961455;0.06877799801409724;710;-0.5311285350358028;0.04858954548961455;-0.06877799801409724
58;0.149875;1260;1620;870;0.8068071038658386;0.02895744471965734;0.1511122451659404;250;-0.8068071038658386;0.02895744471965734;-0.1511122451659404
59;0.06562500000000002;890;1850;910;0.5435325619237343;0.02995738829707638;0.04457389385625726;350;-0.5435325619237343;0.02995738829707638;-0.04457389385625726
60;0.139625;690;880;710;0.7287226214676685;0.03788016534118144;0.1271514740035782;1720;-0.7287226214676685;0.03788016534118144;-0.1271514740035782
61;0.139875;1900;1520;800;0.8325731001642068;0.02342113748608748;0.1455345088616562;-220;-0.8325731001642068;0.02342113748608748;-0.1455345088616562
62;0.05437500000000001;1120;1590;730;0.4765849224165881;0.02846213227326963;0.03238339402422747;560;-0.4765849224165881;0.02846213227326963;-0.03238339402422747
63;0.126625;1290;1200;920;0.8123451773089664;0.02376395734972699;0.1285465728105932;590;-0.8123451773089664;0.02376395734972699;-0.1285465728105932
64;0.125125;1400;820;660;0.7847966365817037;0.02692972606740471;0.122715911056233;1120;-0.7847966365817037;0.02692972606740471;-0.122715911056233
65;0.123375;900;920;520;0.6648675346014087;0.04134990659575147;0.1025071172208691;1660;-0.6648675346014087;0.04134990659575147;-0.1025071172208691
66;0.133375;1590;1800;960;0.835522951434103;0.02193921528137996;0.139262770732539;-350;-0.835522951434103;0.02193921528137996;-0.139262770732539
67;0.124125;1260;1530;990;0.8164674379751478;0.02278304790749885;0.1266480265784812;220;-0.8164674379751478;0.02278304790749885;-0.1266480265784812
68;0.131125;1770;1190;940;0.8256582452592287;0.02286281829516181;0.1352974265060841;100;-0.8256582452592287;0.02286281829516181;-0.1352974265060841
69;0.125625;1130;1440;790;0.7749586692590007;0.02827321743829456;0.1216612708332824;640;-0.7749586692590007;0.02827321743829456;-0.1216612708332824
70;0.142625;1530;1390;560;0.7855599592393138;0.03058718106137659;0.1400147449112722;520;-0.7855599592393138;0.03058718106137659;-0.1400147449112722
71;0.05862500000000001;1820;850;590;0.6662921532516617;0.01956500270994628;0.04881339950186675;740;-0.6662921532516617;0.01956500270994628;-0.04881339950186675
72;0.145125;1120;1510;970;0.8036716187337068;0.02849478556882169;0.1457544425486031;400;-0.8036716187337068;0.02849478556882169;-0.1457544425486031
